frame,x,y,velocity,snr
1,-0.079,0.037,0.000,30.000
1,0.065,0.058,0.000,30.000
1,0.486,0.559,0.000,30.000
1,0.185,0.718,0.000,30.000
1,0.046,1.482,0.000,30.000
1,-0.510,1.392,0.000,30.000
1,-1.109,1.172,0.000,30.000
1,-0.454,1.548,0.000,30.000
1,0.000,4.143,0.000,30.000
1,-1.424,3.890,0.000,30.000
2,-0.079,0.037,0.000,30.000
2,0.065,0.058,0.000,30.000
2,0.486,0.559,0.000,30.000
2,0.185,0.718,0.000,30.000
2,0.046,1.482,0.000,30.000
2,-0.510,1.392,0.000,30.000
2,-1.109,1.172,0.000,30.000
2,-0.454,1.548,0.000,30.000
2,0.000,4.143,0.000,30.000
2,-1.424,3.890,0.000,30.000
3,-0.079,0.037,0.000,30.000
3,0.065,0.058,0.000,30.000
3,0.486,0.559,0.000,30.000
3,0.185,0.718,0.000,30.000
3,0.046,1.482,0.000,30.000
3,-0.510,1.392,0.000,30.000
3,-1.109,1.172,0.000,30.000
3,-0.454,1.548,0.000,30.000
3,0.000,4.143,0.000,30.000
3,-1.424,3.890,0.000,30.000
4,-0.079,0.037,0.000,30.000
4,0.065,0.058,0.000,30.000
4,0.486,0.559,0.000,30.000
4,0.185,0.718,0.000,30.000
4,0.046,1.482,0.000,30.000
4,-0.510,1.392,0.000,30.000
4,-1.109,1.172,0.000,30.000
4,-0.454,1.548,0.000,30.000
5,-0.079,0.037,0.000,30.000
5,0.065,0.058,0.000,30.000
5,0.486,0.559,0.000,30.000
5,0.185,0.718,0.000,30.000
5,0.046,1.482,0.000,30.000
5,-0.510,1.392,0.000,30.000
5,-1.109,1.172,0.000,30.000
5,-0.454,1.548,0.000,30.000
5,0.000,4.143,0.000,30.000
5,-1.424,3.890,0.000,30.000
6,-0.079,0.037,0.000,30.000
6,0.065,0.058,0.000,30.000
6,0.486,0.559,0.000,30.000
6,0.185,0.718,0.000,30.000
6,0.046,1.482,0.000,30.000
6,-0.510,1.392,0.000,30.000
6,-1.109,1.172,0.000,30.000
6,-0.454,1.548,0.000,30.000
6,0.000,4.143,0.000,30.000
6,-1.424,3.890,0.000,30.000
7,-0.079,0.037,0.000,30.000
7,0.065,0.058,0.000,30.000
7,0.486,0.559,0.000,30.000
7,0.185,0.718,0.000,30.000
7,0.046,1.482,0.000,30.000
7,-0.510,1.392,0.000,30.000
7,-1.109,1.172,0.000,30.000
7,-0.454,1.548,0.000,30.000
7,0.000,4.143,0.000,30.000
7,-1.424,3.890,0.000,30.000
8,-0.079,0.037,0.000,30.000
8,0.065,0.058,0.000,30.000
8,0.486,0.559,0.000,30.000
8,0.185,0.718,0.000,30.000
8,0.046,1.482,0.000,30.000
8,-0.510,1.392,0.000,30.000
8,-1.109,1.172,0.000,30.000
8,-0.454,1.548,0.000,30.000
8,0.000,4.143,0.000,30.000
8,-1.424,3.890,0.000,30.000
